Car_Name,version,Gear Type,Running_kn,Owner,Fuel Type,Passing State,Price
2012 Toyota Innova,2.5 GX 8 STR BS IV,Manual,"3,53,288 km",1st Owner,Diesel,MH-02,"6,15,000"
2017 Volkswagen Ameo,COMFORTLINE PLUS PETROL,Manual,"17,916 km",1st Owner,Petrol,MH-02,"4,88,000"
2013 Volkswagen Vento,COMFORTLINE MT PETROL,Manual,"25,304 km",1st Owner,Petrol,MH-02,"3,31,000"
2016 Ford Ecosport,1.5 TREND TDCI,Manual,"78,870 km",1st Owner,Diesel,MH-03,"5,23,000"
2018 Honda WR-V,1.2 i-VTEC S MT Edge Edition,Manual,"13,228 km",1st Owner,Petrol,MH-01,"7,91,000"
2015 Maruti Ertiga,ZXI,Manual,"75,586 km",1st Owner,Petrol,MH-04,"6,47,000"
2017 Datsun Redi Go,S 1.0,Manual,"43,034 km",1st Owner,Petrol + CNG,MH-04,"2,46,000"
2018 Maruti Dzire,ZXI Plus,Manual,"42,906 km",1st Owner,Petrol,MH-06,"6,31,000"
2017 Volkswagen Polo,GT TSI 1.2 PETROL AT,Automatic,"76,366 km",2nd Owner,Petrol,MH-01,"6,83,000"
2010 Maruti Wagon R 1.0,LXI,Manual,"46,119 km",1st Owner,Petrol,MH-04,"2,15,000"
2019 Honda City,SV MT PETROL,Manual,"47,985 km",1st Owner,Petrol,MH-01,"8,32,000"
2016 Toyota Corolla Altis,G,Manual,"36,175 km",1st Owner,Petrol,MH-06,"9,52,000"
2018 Honda City,ZX CVT ANNIVERSARY EDITION,Automatic,"57,645 km",1st Owner,Petrol,MH-43,"10,72,000"
2017 Hyundai Creta,1.6 SX PLUS AUTO PETROL,Automatic,"74,603 km",1st Owner,Petrol,MH-02,"10,64,000"
2016 Hyundai New Elantra,1.6 SX AT,Automatic,"58,093 km",1st Owner,Diesel,MH-05,"8,71,000"
2017 Honda City,ZX CVT,Automatic,"88,218 km",1st Owner,Petrol,MH-47,"9,15,000"
2017 Hyundai Elite i20,SPORTZ 1.2,Manual,"23,648 km",1st Owner,Petrol,MH-47,"6,21,000"
2014 Hyundai Elite i20,SPORTZ (O) 1.2,Manual,"71,895 km",3rd Owner,Petrol,MH-02,"4,89,000"
2021 Nissan MAGNITE,XV PRIMIUM MT,Manual,"10,410 km",1st Owner,Petrol,MH-01,"8,91,000"
2018 Maruti Vitara Brezza,ZDI AMT,Automatic,"57,031 km",1st Owner,Diesel,MH-01,"8,88,000"
2019 Mahindra XUV500,W7 AT,Automatic,"64,388 km",1st Owner,Diesel,MH-48,"11,81,000"
2014 Maruti Wagon R 1.0,VXI,Manual,"50,657 km",1st Owner,Petrol,MH-48,"3,57,000"
2017 Toyota Etios,V,Manual,"74,055 km",1st Owner,Petrol,MH-02,"4,97,000"
2014 Maruti Swift Dzire,VXI,Manual,"78,662 km",1st Owner,Petrol,MH-04,"4,05,000"
2020 Hyundai Creta,1.5 SX (O) AT,Automatic,"26,800 km",2nd Owner,Petrol,MH-02,"15,73,000"
2020 Hyundai Verna,S PETROL MT,Manual,"14,410 km",1st Owner,Petrol,MH-47,"8,61,000"
2013 Toyota Etios Liva,G,Manual,"84,988 km",1st Owner,Petrol,MH-04,"3,05,000"
2019 Maruti Ciaz,DELTA 1.5 SHVS VVT MT,Manual,"30,411 km",1st Owner,Petrol,MH-05,"7,91,000"
2017 Hyundai New Elantra,2.0 SX AT,Automatic,"50,567 km",1st Owner,Petrol,MH-03,"10,60,000"
2016 Mahindra XUV500,W10 AT FWD,Automatic,"50,100 km",2nd Owner,Diesel,MH-04,"10,70,000"
2016 Ford Ecosport,1.5 TREND TI VCT,Manual,"24,560 km",1st Owner,Petrol,MH-47,"5,45,000"
2018 Ford Ecosport,1.5 TITANIUM TI VCT AT,Automatic,"21,067 km",1st Owner,Petrol,MH-01,"8,48,000"
