Car_Name,version,Gear Type,Running_kn,Owner,Fuel Type,Passing State,Price
2017 Toyota Innova Crysta,2.7 ZX AT 7 STR,Automatic,"91,964 km",2nd Owner,Petrol,MH-12,"16,14,000"
2017 Volkswagen Ameo,COMFORTLINE 1.2,Manual,"50,076 km",1st Owner,Petrol,MH-12,"4,90,000"
2017 Hyundai i20 Active,1.2 SX,Manual,"28,501 km",1st Owner,Petrol,MH-12,"7,55,000"
2013 Hyundai Verna,FLUIDIC 1.6 SX VTVT,Manual,"85,267 km",2nd Owner,Petrol,MH-03,"4,28,000"
2015 Hyundai Creta,1.6 SX PLUS PETROL,Manual,"57,821 km",2nd Owner,Petrol,MH-14,"8,35,000"
2013 Maruti Swift,ZXI,Manual,"58,540 km",2nd Owner,Petrol,MH-04,"3,84,000"
2018 Maruti Wagon R 1.0,LXI CNG,Manual,"62,476 km",1st Owner,Petrol + CNG,MH-14,"5,09,000"
2017 Renault Kwid,CLIMBER 1.0,Manual,"82,609 km",1st Owner,Petrol,MH-12,"3,54,000"
2015 Hyundai Grand i10,ASTA 1.2 KAPPA VTVT,Manual,"44,045 km",1st Owner,Petrol,MH-14,"5,26,000"
2020 Renault TRIBER,1.0 RXZ,Manual,"9,952 km",1st Owner,Petrol,MH-12,"6,53,000"
2019 Hyundai NEW SANTRO,1.1 SPORTZ MT CNG,Manual,"28,342 km",1st Owner,Petrol + CNG,MH-14,"5,74,000"
2013 Hyundai Verna,FLUIDIC 1.6 CRDI SX OPT,Manual,"97,234 km",1st Owner,Diesel,MH-12,"5,70,000"
2016 Maruti Wagon R 1.0,LXI CNG,Manual,"63,352 km",1st Owner,Petrol + CNG,MH-14,"4,47,000"
2019 Hyundai Verna,1.6 SX+ VTVT AT,Automatic,"35,557 km",1st Owner,Petrol,MH-12,"10,42,000"
2021 Tata NEXON,XM SUNROOF 1.5 RTQ,Manual,"46,215 km",1st Owner,Diesel,MH-20,"10,23,000"
2014 Ford Ecosport,1.5TITANIUM TDCI,Manual,"74,103 km",1st Owner,Diesel,MH-14,"6,02,000"
2019 Maruti Alto,LXI CNG,Manual,"54,676 km",1st Owner,Petrol + CNG,MH-14,"4,06,000"
2014 Volkswagen Jetta,COMFORTLINE 2.0L TDI,Manual,"87,293 km",2nd Owner,Diesel,MH-46,"6,03,000"
2016 Maruti Celerio,VXI,Manual,"76,775 km",1st Owner,Petrol,MH-14,"4,23,000"
2016 Hyundai i20 Active,1.4 S,Manual,"38,866 km",1st Owner,Diesel,MH-12,"7,16,000"
2018 Maruti Ertiga,VXI CNG,Manual,"50,471 km",1st Owner,Petrol + CNG,MH-47,"8,32,000"
2018 Maruti Celerio,VXI CNG OPT,Manual,"50,889 km",1st Owner,Petrol + CNG,MH-05,"5,56,000"
2017 Maruti Celerio,VXI CNG OPT,Manual,"88,777 km",1st Owner,Petrol + CNG,MH-12,"4,89,000"
2019 Tata Tiago,XT 1.2 REVOTRON,Manual,"18,624 km",1st Owner,Petrol,MH-12,"5,09,000"
2014 Hyundai Grand i10,SPORTZ AT 1.2 KAPPA VTVT,Automatic,"30,832 km",1st Owner,Petrol,MH-12,"4,51,000"
